,index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
31,3288,frozenset({'6082521'}),frozenset({'6152521'}),0.0749379652605459,0.08535980148883375,0.05607940446650124,0.7483443708609272,8.76694132142307,0.04968271462788392,3.634491315136477
32,3496,frozenset({'6470353'}),frozenset({'6490353'}),0.09478908188585608,0.08238213399503722,0.06699751861042183,0.706806282722513,8.579606383649782,0.05918859176523468,3.129732364409783
33,3497,frozenset({'6490353'}),frozenset({'6470353'}),0.08238213399503722,0.09478908188585608,0.06699751861042183,0.8132530120481928,8.579606383649782,0.05918859176523468,4.847258464740254
34,7392,"frozenset({'3029412', '878635'})",frozenset({'888635'}),0.06352357320099256,0.10024813895781638,0.05359801488833747,0.84375,8.416615099009901,0.04722989489498735,5.758411910669976
35,7397,frozenset({'888635'}),"frozenset({'3029412', '878635'})",0.10024813895781638,0.06352357320099256,0.05359801488833747,0.5346534653465347,8.416615099009901,0.04722989489498735,2.0124280660999947
36,3936,frozenset({'7658632'}),frozenset({'7648632'}),0.09379652605459057,0.08883374689826302,0.06947890818858561,0.7407407407407408,8.338506103869234,0.06114661133311578,3.514498404820986
37,3937,frozenset({'7648632'}),frozenset({'7658632'}),0.08883374689826302,0.09379652605459057,0.06947890818858561,0.782122905027933,8.338506103869232,0.06114661133311578,4.159241585544317
38,4055,frozenset({'888635'}),frozenset({'878635'}),0.10024813895781638,0.09379652605459057,0.07791563275434243,0.7772277227722773,8.286316726910787,0.06851270557666139,4.067846705266061
39,4054,frozenset({'878635'}),frozenset({'888635'}),0.09379652605459057,0.10024813895781638,0.07791563275434243,0.8306878306878307,8.286316726910785,0.06851270557666139,5.314159429280397
40,3935,frozenset({'7658632'}),frozenset({'7628632'}),0.09379652605459057,0.07047146401985112,0.052109181141439205,0.5555555555555556,7.88341158059468,0.0454992026303961,2.091439205955335
41,3934,frozenset({'7628632'}),frozenset({'7658632'}),0.07047146401985112,0.09379652605459057,0.052109181141439205,0.7394366197183099,7.883411580594679,0.0454992026303961,3.4778619810877878
42,2707,frozenset({'4752472'}),frozenset({'4772472'}),0.10421836228287841,0.08784119106699752,0.07047146401985112,0.6761904761904762,7.6978746300780205,0.06131679894587123,2.816961027587214
43,2706,frozenset({'4772472'}),frozenset({'4752472'}),0.08784119106699752,0.10421836228287841,0.07047146401985112,0.8022598870056498,7.6978746300780205,0.06131679894587123,4.5300957107408735
44,9397,"frozenset({'878635', '888635'})",frozenset({'858635'}),0.07791563275434243,0.08833746898263027,0.0511166253101737,0.6560509554140127,7.426644242467616,0.044233755518474964,2.6505743957356858
45,9400,frozenset({'858635'}),"frozenset({'878635', '888635'})",0.08833746898263027,0.07791563275434243,0.0511166253101737,0.5786516853932584,7.426644242467615,0.044233755518474964,2.188413564929694
46,9336,"frozenset({'738635', '828635'})",frozenset({'768635'}),0.060049627791563275,0.12655086848635236,0.05459057071960298,0.9090909090909092,7.183600713012479,0.04699123817029845,9.607940446650133
47,9341,frozenset({'768635'}),"frozenset({'738635', '828635'})",0.12655086848635236,0.060049627791563275,0.05459057071960298,0.43137254901960786,7.183600713012479,0.04699123817029845,1.653016171814837
48,4048,frozenset({'878635'}),frozenset({'858635'}),0.09379652605459057,0.08833746898263027,0.05806451612903226,0.6190476190476191,7.007758159443553,0.049778768418006394,2.3931141439205956
49,4049,frozenset({'858635'}),frozenset({'878635'}),0.08833746898263027,0.09379652605459057,0.05806451612903226,0.6573033707865169,7.007758159443553,0.049778768418006394,2.644331448562015
50,9235,"frozenset({'6972521', '7232521'})",frozenset({'7222521'}),0.08933002481389578,0.12258064516129032,0.0749379652605459,0.8388888888888889,6.843567251461989,0.06398783318658448,5.446051167964406
51,9238,frozenset({'7222521'}),"frozenset({'6972521', '7232521'})",0.12258064516129032,0.08933002481389578,0.0749379652605459,0.611336032388664,6.843567251461988,0.06398783318658448,2.3430779569892475
52,7873,"frozenset({'4142521', '4462521'})",frozenset({'4512521'}),0.0749379652605459,0.1349875930521092,0.06898263027295286,0.9205298013245035,6.8193659914296845,0.058866934714209194,10.884739454094314
53,7876,frozenset({'4512521'}),"frozenset({'4142521', '4462521'})",0.1349875930521092,0.0749379652605459,0.06898263027295286,0.5110294117647058,6.8193659914296845,0.058866934714209194,1.8918561913468535
54,9338,"frozenset({'738635', '768635'})",frozenset({'828635'}),0.06153846153846154,0.13052109181141439,0.05459057071960298,0.8870967741935484,6.796577946768061,0.046558503531208245,7.7010989010989
55,9339,frozenset({'828635'}),"frozenset({'738635', '768635'})",0.13052109181141439,0.06153846153846154,0.05459057071960298,0.41825095057034223,6.7965779467680605,0.046558503531208245,1.6131724484665662
56,9373,"frozenset({'748635', '768635'})",frozenset({'828635'}),0.07741935483870968,0.13052109181141439,0.0684863523573201,0.8846153846153847,6.7775665399239555,0.05838149363643641,7.535483870967747
57,9376,frozenset({'828635'}),"frozenset({'748635', '768635'})",0.13052109181141439,0.07741935483870968,0.0684863523573201,0.5247148288973384,6.777566539923955,0.05838149363643641,1.941109677419355
58,9239,frozenset({'7232521'}),"frozenset({'6972521', '7222521'})",0.1325062034739454,0.08436724565756824,0.0749379652605459,0.5655430711610487,6.7033487552324305,0.06375878184090783,2.1075340121502526
59,9234,"frozenset({'6972521', '7222521'})",frozenset({'7232521'}),0.08436724565756824,0.1325062034739454,0.0749379652605459,0.8882352941176469,6.70334875523243,0.06375878184090783,7.761786600496268
